x,truth_pdf,base_pdf,vem_pdf,ecm_pdf,gem_pdf
-0.194846,0.143121,0.138417,0.140048,0.138417,0.138408
-0.150184,0.146272,0.141836,0.143580,0.141836,0.141830
-0.105521,0.149234,0.145052,0.146898,0.145052,0.145049
-0.060859,0.151981,0.148041,0.149975,0.148041,0.148040
-0.016196,0.154488,0.150782,0.152789,0.150782,0.150783
0.028466,0.156734,0.153255,0.155321,0.153255,0.153259
0.073129,0.158699,0.155443,0.157551,0.155443,0.155449
0.117791,0.160366,0.157332,0.159465,0.157332,0.157341
0.162454,0.161721,0.158909,0.161049,0.158909,0.158920
0.207116,0.162753,0.160164,0.162293,0.160164,0.160177
0.251779,0.163453,0.161092,0.163189,0.161092,0.161106
0.296441,0.163817,0.161687,0.163735,0.161687,0.161703
